word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
'Aïn Kechera,,,[地名] 艾因凯舍拉 ( 阿尔及 ),,,,,0,0,,,
'Aïn Kelba,,,[地名] 艾因凯勒拜 ( 阿尔及 ),,,,,0,0,,,
'Aïn Kercha,,,[地名] 艾因凯尔沙 ( 阿尔及 ),,,,,0,0,,,
'Aïn Kerma,,,[地名] 艾因凯尔迈 ( 阿尔及 ),,,,,0,0,,,
'Aïn Nouissy,,,[地名] 艾因努维西 ( 阿尔及 ),,,,,0,0,,,
'Aïn Oulmène,,,[地名] 艾因乌勒曼 ( 阿尔及 ),,,,,0,0,,,
'Aïn Rich,,,[地名] 艾因里什 ( 阿尔及 ),,,,,0,0,,,
'Aïn Salah,,,[地名] 艾因萨拉赫 ( 阿尔及 ),,,,,0,0,,,
'Aïn Sefra,,,[地名] 艾因塞弗拉 ( 阿尔及 ),,,,,0,0,,,
'Aïn Smara,,,[地名] 艾因斯马拉 ( 阿尔及 ),,,,,0,0,,,
'Aïn Souf,,,[地名] 艾因苏夫 ( 阿尔及 ),,,,,0,0,,,
'Aïn Taghrout,,,[地名] 艾因塔格鲁特 ( 阿尔及 ),,,,,0,0,,,
'Aïn Touta,,,[地名] 艾因图塔 ( 阿尔及 ),,,,,0,0,,,
'Aïn Tédélès,,,[地名] 艾因泰德莱斯 ( 阿尔及 ),,,,,0,0,,,
'Aïn Témouchent,,,[地名] 艾因泰穆尚特 ( 阿尔及 ),,,,,0,0,,,
"'Aïn Témouchent, Wilaya d'",,,[地名] 艾因泰穆尚特省 ( 阿尔及 ),,,,,0,0,,,
'Aïn Yagout,,,[地名] 艾因亚古特 ( 阿尔及 ),,,,,0,0,,,
'Aïn Zitoun,,,[地名] 艾因榟橔 ( 阿尔及 ),,,,,0,0,,,
'b,,,n. 英语字母表的第 2 个字母\nabbr. (=billion)十亿\n[网络] 乙；到；良好,,,,,0,0,,,
'Babe' Didrikson,,,[网络] 迪德里克森,,,,,0,0,,,
'Babe' Didrikson Zaharias,,,[网络] 蓓比·札哈里亚斯,,,,,0,0,,,
'Babe' Ruth,,,[网络] 贝比鲁斯；全垒打王贝比鲁斯；鲁思,,,,,0,0,,,
'Baby Face' Nelson,,,[网络] 娃娃脸尼尔森；娃娃脸纳尔逊；孩子脸尼尔逊,,,,,0,0,,,
'best,best,,adv. 最；最高程度地；最出色地；最高标准地\nadj. 最好的；最出色的；最优秀的；最愉快的\nn. 最好的事物（或人）；（人或事物所能达到的）最高标准\nv. 胜过；打败\n[网络] 最佳；贝斯特；倍思特,,,,,0,0,,,
'Bix' Beiderbecke,,,[网络] 德贝克；毕克斯·比德贝克；毕克斯拜德贝克,,,,,0,0,,,
'boes,,,n. ’bo的变形,,,,,0,0,,,
'bok,,,n. 【女名】女子名\n[网络] 博克；韩国银行(Bank of Korea)；二进制正交键控(Binary Orthogonal Keying),,,,,0,0,,,
'boks,,,[网络] 饱嗝；拳击；卜氏,,,,,0,0,0:'bok,,
'Bomber' Harris,,,[网络] 轰炸将军哈里斯,,,,,0,0,,,
'bortion,,,[网络] “堕胎,,,,,0,0,,,
'bortions,,,[网络] “。,,,,,0,0,,,
'bos,,,n. ’bo的变形,,,,,0,0,,,
'bot,bɒt,,n. 网上机器人；自动程序\n[网络] 建设经营移交；建设运营转让；建设-运营-移交(Build Operate Transfer),,,,,0,0,,,
'bots,bɒts,,n. 蝇蛆病；“bot”的复数\n[网络] 机器人；机器人程序；机器人程式,,,,,0,0,,,
'bout,baʊt,,n. 一次；一阵；一场；（疾病的）发作\n[网络] 回合；一回；较量,,,,,0,0,,,
'bout it,,,[网络] 酷毙了,,,,,0,0,,,
'box,bɒks,,n. 箱；盒；方框；匣\nv. （拳击运动中）击打（某人）；把（某物）装箱（或盒、匣）\n[网络] 盒子；箱子；长方体,,,,,0,0,,,
'boxes,,plural of 'box,('box 的复数) n. 箱；盒；方框；匣\nv. （拳击运动中）击打（某人）；把（某物）装箱（或盒、匣）\n[网络] 盒子；箱子；长方体,,,,,0,0,,,
'Brog-mi,,,[网络] 旧派密法与卓弥,,,,,0,0,,,
'Brom-ston,,,[网络] 种敦,,,,,0,0,,,
'buked,,,[网络] “bu,,,,,0,0,,,
'burb,,,[网络] 弗雷德里克·威廉·伯比奇；矂；巴宝莉,,,,,0,0,,,
'burbs,bɜ:bz,,[网络] 郊区；飞越古怪屋,,,,,0,0,,,
'bus,bʌs,,n. 公共汽车；巴士；（计算机系统的）总线\nv. 用公共汽车运送\n[网络] 汇流排；公交车；公车,,,,,0,0,,,
'but,bət,,"conj. 而；然而；只有；尽管如此\nprep. 除了；除…之外\nadv. 只有；仅仅\nn. 借口；托辞\nv. 对(某人)讲“但是”(以示反对,拒绝等)\n[网络] 可是；不过；而是",,,,,0,0,,,
'bye,baɪ,,int. 再见；再会\nn. 轮空（参赛者无对手而自动进入下一轮比赛）\n[网络] 拜拜(bye-bye)；比赛轮空；再见啦,,,,,0,0,,,
'c' word,,,[网络] 英语常用同义词辨析；台词,,,,,0,0,,,
'c' words,,"A polite way to say what is probably the most offensive word in the English language, ""cunt.""\n> Jane: ""Bob called me the c-word!""\n> Sally: ""That cocksucker!""\n",,,,,,0,0,,,
'Capability' Brown,,,[网络] 布朗；能人布朗；能干的布朗,,,,,0,0,,,
'cause,kʌz,,n. 原因；事业；病因；理由\nv. 导致；使；引起；产生,,,,,0,0,,,
'celli,,,[网络] 大提琴；常规电池,,,,,0,0,,,
'cellist,'tʃelɪst,,n. 大提琴手；大提琴演奏者\n[网络] 大提琴家；大提琴演奏家；大提琴独奏,,,,,0,0,,,
